title,author,pub
A bell for Adano,"Hersey, John, 1914-1993.","New York, A.A. Knopf, 1944"
From here to eternity /,"Jones, James, 1921-1977.","New York : Scribner, 1951"
"The moon is down, a novel,","Steinbeck, John, 1902-1968.","New York, The Viking press, 1942"
The naked and the dead /,"Mailer, Norman.","New York : Rinehart, 1948"
The good shepherd.,"Forester, C. S. 1899-1966.","Boston, Little, Brown 1955"
"The Caine mutiny, a novel of World War II.","Wouk, Herman, 1915-","Garden City, N.Y., Doubleday, 1951"
"Tales of the South Pacific,","Michener, James A. 1907-1997.","New York, Macmillan Co., 1947"
Across the river and into the trees /,"Hemingway, Ernest, 1899-1961.","New York : Scribner, 1950"
The bridge over the River Kwai;,"Boulle, Pierre, 1912-1994.","New York, Vanguard Press 1954"
Guard of honor.,"Cozzens, James Gould, 1903-1978.","New York, Harcourt, Brace 1948"
The heat of the day.,"Bowen, Elizabeth, 1899-1973.","New York, A.A. Knopf,  1949, 1948"
A time to love and a time to die.,"Remarque, Erich Maria, 1898-1970.","New York, Harcourt, Brace 1954"
"Men at arms, a novel.","Waugh, Evelyn, 1903-1966.","Boston, Little, Brown 1952"
The man in the gray flannel suit /,"Wilson, Sloan, 1920-2003.","New York : Simon and Schuster, 1955"
The White tower,"Ullman, James Ramsey, 1907-1971.","Philadelphia, New York, J.B. Lippincott Co. 1945"
Mister Roberts /,"Heggen, Thomas, 1919-1949.; Rosenwald, Edith Goodkind,","Boston : Houghton Mifflin Co., 1946"
The end of the affair /,"Greene, Graham, 1904-1991.","New York : Viking Press, 1951"
A world to win,"Sinclair, Upton, 1878-1968.","New York, Viking Press, 1946"
"Pastoral,","Shute, Nevil, 1899-1960.","New York, W. Morrow and Co., 1944"
"Run silent, run deep.","Beach, Edward L. 1918-2002.","New York, Holt 1955"
Battle cry.,"Uris, Leon, 1924-2003.","New York, Putnam 1953"
Dragon harvest /,"Sinclair, Upton, 1878-1968.","New York : The Viking Press, 1945"
"Days and nights,","Simonov, Konstantin, 1915-1979.; Barnes, Joseph,","New York, Simon and Schuster 1945"
Troubled sleep.,"Sartre, Jean-Paul, 1905-1980.","New York, Knopf, 1951"
The young lions.,"Shaw, Irwin, 1913-1984.","New York, Random House 1948"
Fair stood the wind for France /,"Bates, H. E. 1905-1974.","Boston: Little, Brown and Co., 1944"
"Twenty and ten,","Bishop, Claire Huchet.; Pne du Bois, William,","New York, Viking Press, 1952"
"The Caine mutiny, a novel of World War II.","Wouk, Herman, 1915-","Garden City, N.Y., Doubleday,  1952, 1951"
The legacy : a novel /,"Shute, Nevil, 1899-1960.","New York : Morrow, 1950"
The reprieve /,"Sartre, Jean-Paul, 1905-1980.; Sutton, Eric.","New York : A.A. Knopf, 1947"
"Ordeal; a novel,","Shute, Nevil, 1899-1960.","New York, W. Morrow, 1939"
"The ship,","Forester, C. S. 1899-1966.","Boston, Little, Brown and Co., 1943"
"The tin flute,","Roy, Gabrielle, 1909-1983.; Josephson, Hannah (Geffen)","New York, Reynal & Hitchcock 1947"
"O shepherd, speak!","Sinclair, Upton, 1878-1968.","New York, Viking Press, 1949"
